study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,external_data_fbclid,notes
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,73.157694468012,61.182192043099,7511,7911,400,16.059644202225,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,73.46099502675,28.429310315884,7931,8323,392,1.9792272381781,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,73.546227487014,32.463552644786,8341,8533,192,12.872059905712,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,87.879045380266,26.131671785969,8551,8899,348,,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,45.60546875,46.875,9315,9430,115,9.3728871552512,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,56.344039351852,47.89737654321,9461,9656,195,11.834649880494,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,69.821579391892,44.959803553554,9676,9758,82,20.690969832231,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,91.518880208333,62.085813492063,9809,9895,86,9.8283872114849,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,101.91002248602,69.872665571217,9925,10324,399,26.393547668121,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e,32062453-818a-44f3-acac-1e8d66588646,Squats_20.mp4,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_d4d6fdec-9f80-41bc-a81c-d1f322ab3a1e/project_lg_32062453-818a-44f3-acac-1e8d66588646.jpg?v=15.35.4,1d3a9087-9282-4d18-af02-f721758c497d,,"P0102, Male",,3,3,1,1,90.445824430199,20.043922127255,10392,10520,128,14.288687834656,IwAR3mmnJDBFtVAGgp-dCh04amN_VnzZSXXS2XSbx7Qdv51zCJ9OfApBe-DgU,
