study_id,item_id,item_filename,item_cdn_url,participant_id,participant_external_id,participant_display_name,participant_tags,participant_quality_grade,participant_quality_grade_item,test_item_display_order,exposure_number,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,saccade_amplitude_percent,notes
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,2,1,55.080159505208,15.293710918711,1039,1303,264,13.799198081798,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,2,1,64.153753628437,38.359455166747,1335,1720,385,5.841755003881,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,2,1,68.476196635275,47.466172769992,1744,2144,400,2.7362589904493,
a8e98608-7fb7-4b08-847c-36de3c777fb1,ce79a161-4405-4b4d-9f22-0f0b86659f7d,1.png,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_ce79a161-4405-4b4d-9f22-0f0b86659f7d.jpg?v=15.35.4,6a274097-4090-45e2-9f6f-ebae9916c4d4,,"P0103, Male",,6,6,2,1,70.383047842765,43.032407407407,2162,2275,113,,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,4,4,1,27.993943993368,45.747354497354,465,560,95,15.583190232113,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,4,4,1,45.855461245246,44.328703703704,628,725,97,14.179021443897,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,4,4,1,56.315959776981,66.478587962963,833,976,143,8.1206018037325,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,4,4,1,65.235418549231,61.690923959442,1009,1178,169,30.16399294138,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,4,4,1,98.413765147636,79.195601851852,1246,1345,99,,
a8e98608-7fb7-4b08-847c-36de3c777fb1,8c1d6ac7-a5ff-4acf-9889-ed6028023629,2e0fb9af-0ef9-410e-b22f-eb35e9be22df.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_a8e98608-7fb7-4b08-847c-36de3c777fb1/project_lg_8c1d6ac7-a5ff-4acf-9889-ed6028023629.jpg?v=15.35.4,5dba697b-31ba-41cf-8275-af2893cf6a1a,,"P0101, Male",,5,4,4,1,123.3630952381,38.506944444444,2094,2219,125,,
